Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes
QMAODV,3,20,19,3,50.000000,0.250000,0.643794,10.826147,32.664480,17.282241,14792,9523,439798,8.552355,730.867223,0.076748,20
QMAODV,4,20,19,3,50.000000,0.250000,0.824432,13.863789,46.525247,18.717493,14792,12195,422102,6.409761,725.360009,0.059480,20
QMAODV,5,20,19,3,50.000000,0.250000,0.751690,12.640547,113.254548,34.868074,14792,11119,424364,7.067715,722.216381,0.064953,20
QMAODV,6,20,19,3,50.000000,0.250000,0.858640,14.439032,42.079592,23.792495,14792,12701,353294,5.151155,725.747420,0.057141,20
QMAODV,7,20,19,3,50.000000,0.250000,0.411101,7.297200,16.414500,13.218797,14792,6081,298720,9.096944,726.185659,0.119419,20
QMAODV,8,20,19,3,50.000000,0.250000,0.300771,5.338800,4.508008,3.760120,14792,4449,114318,4.758373,722.495669,0.162395,20
QMAODV,9,20,19,3,50.000000,0.250000,0.403799,7.167600,121.550158,17.649513,14792,5973,144668,4.485245,724.690790,0.121328,20
QMAODV,10,20,19,3,50.000000,0.250000,0.724784,12.188084,102.600721,35.070996,14792,10721,685350,11.838137,732.489055,0.068323,20
QMAODV,11,20,19,3,50.000000,0.250000,0.524473,8.819621,180.622484,64.775904,14792,7758,795644,18.992199,728.650246,0.093922,20
QMAODV,12,20,19,3,50.000000,0.250000,0.660763,11.111495,37.033766,17.245446,14792,9774,278374,5.274273,726.865654,0.074367,20
QMAODV,13,20,19,3,50.000000,0.250000,0.796850,13.399958,22.626841,12.485403,14792,11787,300602,4.722749,725.631155,0.061562,20
QMAODV,14,20,19,3,50.000000,0.250000,0.587277,10.424400,7.125354,5.833309,14792,8687,220764,4.706138,724.126382,0.083357,20
QMAODV,15,20,19,3,50.000000,0.250000,0.739183,12.430232,34.268271,17.727485,14792,10934,359856,6.094750,725.990130,0.066397,20
