Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes,SweepParam
QS2MAODV,29,20,19,3,50.000000,0.100000,0.483091,20.332421,50.839480,26.840567,37022,17885,758720,7.855952,729.857270,0.040808,20,0.90
QS2MAODV,28,20,19,3,50.000000,0.100000,0.206877,8.707074,288.311128,121.690411,37022,7659,2702274,65.337656,745.078263,0.097281,20,0.90
QS2MAODV,30,20,19,3,50.000000,0.100000,0.345902,14.558400,259.829618,103.279676,37022,12806,2635948,38.117954,738.343239,0.057656,20,0.90
QS2MAODV,1,20,19,3,50.000000,0.100000,0.232348,9.779116,175.393198,81.340622,37022,8602,2187140,47.085088,743.377568,0.086419,20,0.92
QS2MAODV,2,20,19,3,50.000000,0.100000,0.161174,7.160400,656.130295,293.344170,37022,5967,1533536,47.593120,743.947958,0.124677,20,0.92
QS2MAODV,5,20,19,3,50.000000,0.100000,0.422370,17.776800,128.126748,58.383068,37022,15637,1472136,17.434148,725.275536,0.046382,20,0.92
QS2MAODV,3,20,19,3,50.000000,0.100000,0.286775,12.069853,282.107567,133.766020,37022,10617,3020954,52.692467,735.647127,0.069290,20,0.92
QS2MAODV,4,20,19,3,50.000000,0.100000,0.319270,13.437474,339.890511,143.238791,37022,11820,2982558,46.728050,733.375334,0.062045,20,0.92
QS2MAODV,8,20,19,3,50.000000,0.100000,0.569499,23.969179,74.453660,30.991861,37022,21084,700170,6.149740,727.091984,0.034485,20,0.92
QS2MAODV,6,20,19,3,50.000000,0.100000,0.407568,17.153811,170.166518,80.517004,37022,15089,2383454,29.251797,735.735254,0.048760,20,0.92
QS2MAODV,7,20,19,3,50.000000,0.100000,0.240668,10.129263,361.470229,165.968383,37022,8910,2770210,57.575965,743.466667,0.083442,20,0.92
QS2MAODV,10,20,19,3,50.000000,0.100000,0.272352,11.462779,141.174307,79.624087,37022,10083,1719568,31.581724,746.360833,0.074022,20,0.92
QS2MAODV,9,20,19,3,50.000000,0.100000,0.456999,19.234232,86.365720,44.718989,37022,16919,2085402,22.825554,737.779390,0.043607,20,0.92
QS2MAODV,11,20,19,3,50.000000,0.100000,0.221193,9.309600,250.001117,111.660387,37022,8189,2474006,55.946912,743.214532,0.090758,20,0.92
QS2MAODV,13,20,19,3,50.000000,0.100000,0.331317,15.585035,107.318851,62.853941,37022,12266,2281704,34.447887,728.934606,0.059427,20,0.92
QS2MAODV,14,20,19,3,50.000000,0.100000,0.606207,25.514147,123.682353,46.328796,37022,22443,1215754,10.031619,738.104599,0.032888,20,0.92
QS2MAODV,12,20,19,3,50.000000,0.100000,0.312004,13.131663,286.331575,136.219582,37022,11551,3668468,58.812737,745.102767,0.064505,20,0.92
QS2MAODV,15,20,19,3,50.000000,0.100000,0.406731,17.118568,57.729161,38.038744,37022,15058,905490,11.135830,733.176453,0.048690,20,0.92
QS2MAODV,18,20,19,3,50.000000,0.100000,0.439036,18.478232,135.021228,63.010851,37022,16254,2625370,29.911384,744.580690,0.045809,20,0.92
QS2MAODV,16,20,19,3,50.000000,0.100000,0.302118,12.715579,140.205313,70.342930,37022,11185,3154608,52.229474,737.269818,0.065916,20,0.92
QS2MAODV,17,20,19,3,50.000000,0.100000,0.324078,13.639832,304.369854,176.679538,37022,11998,3186856,49.188075,744.827903,0.062079,20,0.92
QS2MAODV,20,20,19,3,50.000000,0.100000,0.312085,13.135074,213.956650,94.017905,37022,11554,2413026,38.675495,734.725621,0.063591,20,0.92
QS2MAODV,19,20,19,3,50.000000,0.100000,0.338015,14.226442,146.406077,95.443350,37022,12514,2814674,41.652224,732.442638,0.058530,20,0.92
QS2MAODV,21,20,19,3,50.000000,0.100000,0.282454,11.887958,105.215360,57.369902,37022,10457,3313164,58.673510,737.032072,0.070482,20,0.92
QS2MAODV,23,20,19,3,50.000000,0.100000,0.228486,9.616547,142.117767,88.864046,37022,8459,2728102,59.723853,733.212301,0.086678,20,0.92
QS2MAODV,24,20,19,3,50.000000,0.100000,0.459024,19.319495,163.187674,67.160073,37022,16994,1996646,21.757636,732.783289,0.043120,20,0.92
QS2MAODV,22,20,19,3,50.000000,0.100000,0.167738,7.059789,413.901218,206.294228,37022,6210,3464094,103.300948,737.364315,0.118738,20,0.92
QS2MAODV,26,20,19,3,50.000000,0.100000,0.359327,15.123411,103.222235,55.327998,37022,13303,1798742,25.039493,746.156792,0.056089,20,0.92
QS2MAODV,25,20,19,3,50.000000,0.100000,0.338501,14.246905,219.221517,98.149023,37022,12532,3098334,45.784037,736.212795,0.058747,20,0.92
